name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
DATA_AGG_UID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PROSPECT_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
TAXID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DBA_NAME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
LEGAL_NAME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ALT_NAMES,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ADDRESS,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
CITY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
STATE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ZIP,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
FULL_ADDRESS,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
COUNTRY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
COUNTY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PHONE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
LATITUDE,FLOAT,COLUMN,Y,,N,N,,,,,
LONGITUDE,FLOAT,COLUMN,Y,,N,N,,,,,
WEBSITE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
WEBSITE_STATUS,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
MCC_CODE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
MCC_CATEGORY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SUB_INDUSTRY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
NAICS,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SIC,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PRIMARY_INDUSTRY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
GENERIC_EMAIL,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
LEGAL_ENTITY_TYPE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
KEYWORDS,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
IS_B2B,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
IS_B2C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
CLOSED_DATE,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
STATUS,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
CURRENCY_CODE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
NUMBER_OF_EMPLOYEES,FLOAT,COLUMN,Y,,N,N,,,,,
NUMBER_OF_LOCATIONS,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
REVENUE,"NUMBER(38,4)",COLUMN,Y,,N,N,,,,,
IS_FRANCHISEE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
IS_FRANCHISOR,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
FACEBOOK_URL,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
LINKEDIN_URL,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
